PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,25,1,1,26,0,25,0,0
1,Cider,25,50,50,76,0,26,0,0
2,Cider,25,100,100,126,0,26,0,0
3,B52,200,150,150,351,0,201,0,0
1,Tequila shot,20,176,371,391,195,215,195,0
0,Bloody Mary,70,177,411,481,234,304,234,0
4,White Wine,25,200,501,527,301,327,301,0
2,Martini,60,226,547,607,321,381,321,0
5,Red Wine,25,250,628,653,378,403,378,0
6,Martini,60,300,673,733,373,433,373,0
7,Beer,25,350,754,779,404,429,404,0
3,Beer,25,361,799,824,438,463,438,0
1,Gin and Tonic,40,394,844,885,450,491,450,0
8,Mojito,75,400,905,980,505,580,505,0
9,Margarita,75,450,1001,1076,551,626,551,0
10,Beer,25,500,1096,1121,596,621,596,0
11,Gin and Tonic,40,550,1141,1182,591,632,591,0
12,Tequila shot,20,600,1202,1222,602,622,602,0
0,Pina Colada,100,632,1242,1342,610,710,610,0
13,B52,200,650,1363,1563,713,913,713,0
4,White Wine,25,677,1583,1609,906,932,906,0
14,Pina Colada,100,700,1629,1729,929,1029,929,0
2,Margarita,75,718,1750,1825,1032,1107,1032,0
15,Cider,25,750,1845,1870,1095,1120,1095,0
16,Martini,60,800,1891,1951,1091,1151,1091,0
5,Gin and Tonic,40,803,1971,2011,1168,1208,1168,0
6,Bloody Mary,70,844,2031,2102,1187,1258,1187,0
17,Pina Colada,100,851,2122,2222,1271,1371,1271,0
7,Draft Beer,50,879,2242,2293,1363,1414,1363,0
18,Gin and Tonic,40,900,2313,2353,1413,1453,1413,0
3,Bloody Mary,70,925,2373,2443,1448,1518,1448,0
19,Gin and Tonic,40,950,2464,2504,1514,1554,1514,0
1,White Wine,25,995,2524,2549,1529,1554,1529,0
20,White Wine,25,1001,2570,2595,1569,1594,1569,0
21,Beer,25,1050,2615,2640,1565,1590,1565,0
8,Beer,25,1091,2661,2686,1570,1595,1570,0
22,Mojito,75,1100,2706,2781,1606,1681,1606,0
23,Pina Colada,100,1150,2801,2902,1651,1752,1651,0
9,Pina Colada,100,1156,2922,3022,1766,1866,1766,0
24,Cosmopolitan,65,1201,3042,3108,1841,1907,1841,0
10,B52,200,1222,3128,3328,1906,2106,1906,0
12,Bloody Mary,70,1225,3349,3419,2124,2194,2124,0
25,Martini,60,1251,3439,3500,2188,2249,2188,0
11,Draft Beer,50,1292,3520,3570,2228,2278,2228,0
26,White Wine,25,1301,3590,3616,2289,2315,2289,0
27,Cosmopolitan,65,1350,3636,3701,2286,2351,2286,0
28,Draft Beer,50,1400,3722,3772,2322,2372,2322,0
29,White Wine,25,1451,3792,3818,2341,2367,2341,0
0,Draft Beer,50,1463,3838,3888,2375,2425,2375,0
13,Pina Colada,100,1573,3909,4009,2336,2436,2336,0
4,Pina Colada,100,1759,4029,4129,2270,2370,2270,0
14,White Wine,25,1850,4150,4175,2300,2325,2300,0
2,Martini,60,1905,4195,4256,2290,2351,2290,0
15,Vodka shot,20,1971,4276,4296,2305,2325,2305,0
16,White Wine,25,2061,4317,4342,2256,2281,2256,0
5,Bloody Mary,70,2122,4362,4432,2240,2310,2240,0
6,Pina Colada,100,2252,4453,4553,2201,2301,2201,0
17,Red Wine,25,2342,4573,4599,2231,2257,2231,0
7,Gin and Tonic,40,2393,4619,4659,2226,2266,2226,0
18,Cider,25,2463,4680,4705,2217,2242,2217,0
3,Draft Beer,50,2594,4725,4775,2131,2181,2131,0
19,B52,200,2614,4796,4996,2182,2382,2182,0
1,Beer,25,2699,5016,5041,2317,2342,2317,0
21,Vodka shot,20,2741,5062,5082,2321,2341,2321,0
20,B52,200,2745,5102,5302,2357,2557,2357,0
8,B52,200,2786,5323,5523,2537,2737,2537,0
22,Martini,60,2892,5543,5604,2651,2712,2651,0
23,Red Wine,25,3022,5624,5649,2602,2627,2602,0
9,Tequila shot,20,3143,5670,5690,2527,2547,2527,0
24,Cosmopolitan,65,3158,5710,5775,2552,2617,2552,0
10,Bloody Mary,70,3339,5795,5866,2456,2527,2456,0
12,Margarita,75,3570,5886,5961,2316,2391,2316,0
25,Pina Colada,100,3610,5981,6081,2371,2471,2371,0
11,Red Wine,25,3670,6102,6127,2432,2457,2432,0
27,Pina Colada,100,3752,6147,6248,2395,2496,2395,0
26,Martini,60,3766,6268,6328,2502,2562,2502,0
28,Margarita,75,3873,6348,6424,2475,2551,2475,0
29,Bloody Mary,70,3968,6444,6514,2476,2546,2476,0
0,White Wine,25,3989,6535,6560,2546,2571,2546,0
13,Cider,25,4129,6580,6605,2451,2476,2451,0
4,Tequila shot,20,4250,6626,6646,2376,2396,2376,0
15,Red Wine,25,4300,6666,6691,2366,2391,2366,0
14,Martini,60,4326,6711,6772,2385,2446,2385,0
2,Beer,25,4366,6792,6817,2426,2451,2426,0
16,Draft Beer,50,4492,6837,6888,2345,2396,2345,0
5,Cider,25,4583,6908,6933,2325,2350,2325,0
6,Cosmopolitan,65,4673,6954,7019,2281,2346,2281,0
17,Cosmopolitan,65,4749,7039,7104,2290,2355,2290,0
7,Martini,60,4770,7125,7185,2355,2415,2355,0
18,Red Wine,25,4805,7205,7230,2400,2425,2400,0
3,Mojito,75,4876,7250,7326,2374,2450,2374,0
19,Gin and Tonic,40,5006,7346,7386,2340,2380,2340,0
21,Cider,25,5085,7407,7432,2322,2347,2322,0
20,Tequila shot,20,5313,7452,7472,2139,2159,2139,0
8,B52,200,5534,7493,7693,1959,2159,1959,0
