PatronID,DrinkName,ExecutionTime,ArrivalTime,StartTime,CompletionTime,WaitingTime,TurnaroundTime,ResponseTime,SwitchCount
0,White Wine,5,1,1,37,0,36,0,2
1,Cider,5,50,50,87,0,37,0,2
2,Cider,5,100,100,137,0,37,0,2
1,Tequila shot,10,187,197,270,10,83,10,1
4,White Wine,5,200,244,451,44,251,44,2
5,Red Wine,5,250,321,570,71,320,71,2
6,Beer,5,300,384,656,84,356,84,2
7,Beer,5,350,456,744,106,394,106,2
4,Tequila shot,10,601,765,1004,164,403,164,1
0,Bloody Mary,10,187,212,1050,25,863,25,6
8,Gin and Tonic,10,400,518,1126,118,726,118,3
2,Martini,10,237,290,1141,53,904,53,5
11,Beer,5,550,693,1167,143,617,143,2
1,Martini,10,273,353,1335,80,1062,80,5
5,White Wine,5,720,917,1545,197,825,197,2
12,Gin and Tonic,10,600,749,1683,149,1083,149,3
16,Cider,5,800,1024,1740,224,940,224,2
17,Gin and Tonic,10,850,1100,2326,250,1476,250,3
23,White Wine,5,1150,1448,2367,298,1217,298,2
0,White Wine,5,1200,1510,2423,310,1223,310,2
24,Beer,5,1200,1525,2433,325,1233,325,2
8,Beer,5,1236,1566,2459,330,1223,330,2
4,Gin and Tonic,10,1007,1309,2613,302,1606,302,3
22,Gin and Tonic,10,1100,1417,2752,317,1652,317,3
9,Mojito,5,450,575,2855,125,2405,125,7
5,White Wine,5,1696,2118,3005,422,1309,422,2
20,Draft Beer,10,1000,1294,3052,294,2052,294,4
10,Margarita,5,500,636,3093,136,2593,136,7
7,Martini,10,844,1085,3155,241,2311,241,5
29,Draft Beer,10,1450,1885,3660,435,2210,435,4
18,Bloody Mary,10,900,1172,3691,272,2791,272,6
17,White Wine,5,2437,2835,3731,398,1294,398,2
22,Vodka shot,10,2862,3284,3747,422,885,422,1
6,Margarita,5,757,963,3879,206,3122,206,7
0,White Wine,5,2573,3011,3904,438,1331,438,2
21,Bloody Mary,10,1050,1355,3950,305,2900,305,6
16,Draft Beer,10,1841,2286,4071,445,2230,445,4
1,Martini,10,1445,1870,4086,425,2641,425,5
9,White Wine,5,2966,3407,4297,441,1331,441,2
26,Cosmopolitan,5,1300,1688,4338,388,3038,388,6
13,Pina Colada,10,650,826,4400,176,3750,176,9
28,Bloody Mary,10,1400,1807,4416,407,3016,407,6
10,Red Wine,5,3174,3605,4488,431,1314,431,2
25,Mojito,5,1250,1596,4622,346,3372,346,7
23,Draft Beer,10,2517,2907,4668,390,2151,390,4
15,Pina Colada,10,750,948,4684,198,3934,198,9
6,Vodka shot,10,3959,4359,4792,400,833,400,1
12,Cosmopolitan,5,1793,2225,4802,432,3009,432,6
7,Gin and Tonic,10,3265,3711,4972,446,1707,446,3
22,Cider,5,3750,4137,4983,387,1233,387,2
19,Pina Colada,10,950,1233,5044,283,4094,283,9
17,Beer,5,3882,4302,5163,420,1281,420,2
26,Tequila shot,10,4389,4807,5255,418,866,418,1
4,Martini,10,2723,3160,5333,437,2610,437,5
3,B52,10,150,150,5410,0,5260,0,19
1,Red Wine,5,4197,4627,5467,430,1270,430,2
2,Pina Colada,10,1251,1611,5528,360,4277,360,9
11,Pina Colada,10,1267,1642,5575,375,4308,375,9
29,Draft Beer,10,3761,4153,5884,392,2123,392,4
25,Red Wine,5,4732,5142,6001,410,1269,410,2
19,Tequila shot,10,5165,5595,6017,430,852,430,1
20,Bloody Mary,10,3152,3559,6169,407,3017,407,6
7,White Wine,5,5082,5487,6361,405,1279,405,2
22,Cider,5,5083,5503,6371,420,1288,420,2
26,Red Wine,5,5259,5688,6548,429,1289,429,2
3,Beer,5,5420,5843,6695,423,1275,423,2
16,Martini,10,4171,4586,6755,415,2584,415,5
24,Pina Colada,10,2533,2938,6786,405,4253,405,9
8,Pina Colada,10,2559,2985,6847,426,4288,426,9
2,Cider,5,5649,6052,6887,403,1238,403,2
6,Martini,10,4795,5214,7327,419,2532,419,5
25,Red Wine,5,6152,6553,7399,401,1247,401,2
5,Pina Colada,10,3156,3574,7444,418,4288,418,9
9,Cosmopolitan,5,4447,4854,7470,407,3023,407,6
13,Bloody Mary,10,4520,4931,7531,411,3011,411,6
26,Tequila shot,10,6698,7105,7546,407,848,407,1
4,Draft Beer,10,5443,5889,7591,446,2148,446,4
7,Cider,5,6511,6923,7753,412,1242,412,2
17,Martini,10,5263,5704,7829,441,2566,441,5
12,Bloody Mary,10,4852,5291,7860,439,3008,439,6
28,Margarita,5,4566,4988,7962,422,3396,422,7
16,Cider,5,6866,7257,8112,391,1246,391,2
22,Gin and Tonic,10,6471,6867,8127,396,1656,396,3
15,Margarita,5,4804,5230,8169,426,3365,426,7
9,Tequila shot,10,7520,7911,8292,391,772,391,1
19,Martini,10,6020,6422,8476,402,2456,402,5
11,Cosmopolitan,5,5695,6113,8548,418,2853,418,6
8,Gin and Tonic,10,6967,7378,8564,411,1597,411,3
14,B52,10,700,872,8672,172,7972,172,19
17,Vodka shot,10,7940,8313,8718,373,778,373,1
5,Red Wine,5,7565,7968,8744,403,1179,403,2
10,Pina Colada,10,4638,5065,8775,427,4137,427,9
29,Cosmopolitan,5,5984,6391,8816,407,2832,407,6
23,Pina Colada,10,4768,5184,8878,416,4110,416,9
15,Beer,5,8249,8631,9383,382,1134,382,2
8,Vodka shot,10,8674,9038,9414,364,740,364,1
20,Mojito,5,6319,6715,9486,396,3167,396,7
29,Tequila shot,10,8867,9208,9578,341,711,341,1
27,B52,10,1350,1746,9594,396,8244,396,19
10,Vodka shot,10,8895,9239,9609,344,714,344,1
24,Cosmopolitan,5,6906,7302,9620,396,2714,396,6
19,Red Wine,5,8586,8930,9646,344,1060,344,2
13,Martini,10,7681,8076,9892,395,2211,395,5
2,Margarita,5,6987,7404,9980,417,2993,417,7
14,Gin and Tonic,10,8682,9053,10088,371,1406,371,3
26,Bloody Mary,10,7549,7927,10119,378,2570,378,6
25,Mojito,5,7549,7942,10453,393,2904,393,7
12,Cosmopolitan,5,8010,8389,10479,379,2469,379,6
27,Cider,5,9604,9928,10582,324,978,324,2
16,Bloody Mary,10,8212,8569,10613,357,2401,357,6
19,Beer,5,9796,10124,10747,328,951,328,2
28,Margarita,5,8043,8435,10803,392,2760,392,7
20,Gin and Tonic,10,9596,9913,10880,317,1284,317,3
6,Pina Colada,10,7438,7834,10957,396,3519,396,9
9,Margarita,5,8295,8677,11029,382,2734,382,7
